Fecha,Hoja,Rango,Valor anterior,Nuevo valor,Usuario
29-abr-24 1:46 p.m.,Calibración/Verificación,R563,,"Longitud exterior 3 mm, 4 mm, 5 mm, 6 mm, 7 mm, 8 mm, 10 mm, 12 mm, 14 mm, 16 mm, 18 mm, 20 mm, 22 mm, 120 mm. Longitud interna 3 mm, 4 mm, 5 mm, 6 mm, 7 mm, 8 mm, 10 mm, 12 mm.",validacion5@sblpharma.com
29-abr-24 1:46 p.m.,Certificados,D563:AA563,,,validacion5@sblpharma.com
29-abr-24 2:43 p.m.,SBL-LM-08,D464:I464,,,validacion7@sblpharma.com
29-abr-24 2:43 p.m.,SBL-LM-08,E464,,TER-LC-19,validacion7@sblpharma.com
29-abr-24 2:43 p.m.,SBL-LM-08,F464,,Control de Calidad,validacion7@sblpharma.com
29-abr-24 2:44 p.m.,SBL-LM-08,G464,,Almacén de validación,validacion7@sblpharma.com
29-abr-24 2:44 p.m.,SBL-LM-08,H464,,29-abr-24,validacion7@sblpharma.com
29-abr-24 2:44 p.m.,SBL-LM-08,I464,,N/A,validacion7@sblpharma.com
29-abr-24 2:44 p.m.,SBL-LM-08,D465:I465,,,validacion7@sblpharma.com
29-abr-24 2:44 p.m.,Calibración/Verificación,A567:R1067,,,validacion7@sblpharma.com
29-abr-24 2:44 p.m.,SBL-LM-08,D465:I465,,,validacion7@sblpharma.com
29-abr-24 2:44 p.m.,SBL-LM-08,A464:A466,,,validacion7@sblpharma.com
29-abr-24 2:44 p.m.,SBL-LM-08,B464,,Extech Instruments,validacion7@sblpharma.com
29-abr-24 2:45 p.m.,SBL-LM-08,B465:B466,,,validacion7@sblpharma.com
29-abr-24 2:45 p.m.,SBL-LM-08,C464,,26-abr-20,validacion7@sblpharma.com
29-abr-24 2:45 p.m.,SBL-LM-08,C465,,15-abr-20,validacion7@sblpharma.com
29-abr-24 2:47 p.m.,SBL-LM-08,C466,,15-abr-20,validacion7@sblpharma.com
29-abr-24 2:47 p.m.,SBL-LM-08,E465,,TER-LC-20,validacion7@sblpharma.com
29-abr-24 2:47 p.m.,SBL-LM-08,E466,,TER-LC-20,validacion7@sblpharma.com
29-abr-24 2:47 p.m.,SBL-LM-08,D464,,ND,validacion7@sblpharma.com
29-abr-24 2:47 p.m.,SBL-LM-08,D465,,ND,validacion7@sblpharma.com
29-abr-24 2:47 p.m.,SBL-LM-08,D466,,ND,validacion7@sblpharma.com
29-abr-24 2:47 p.m.,SBL-LM-08,F465:F466,,,validacion7@sblpharma.com
29-abr-24 2:47 p.m.,SBL-LM-08,G465,,Area de balanzas,validacion7@sblpharma.com
29-abr-24 2:50 p.m.,SBL-LM-08,E466,TER-LC-20,TER-LC-21,validacion7@sblpharma.com
29-abr-24 2:50 p.m.,SBL-LM-08,G466,,Recepcion de muestras,validacion7@sblpharma.com
29-abr-24 2:50 p.m.,SBL-LM-08,G466,Recepcion de muestras,Recepción de muestras,validacion7@sblpharma.com
29-abr-24 2:50 p.m.,SBL-LM-08,H465,,29-abr-24,validacion7@sblpharma.com
29-abr-24 2:50 p.m.,SBL-LM-08,H466,,29-abr-24,validacion7@sblpharma.com
29-abr-24 2:50 p.m.,SBL-LM-08,I465,,N/A,validacion7@sblpharma.com
29-abr-24 2:50 p.m.,SBL-LM-08,I466,,N/A,validacion7@sblpharma.com
30-abr-24 7:12 a.m.,Calibración/Verificación,E459:R459,,,validacion7@sblpharma.com
30-abr-24 7:12 a.m.,Certificados,A1068:S1568,,,validacion7@sblpharma.com
30-abr-24 7:12 a.m.,Calibración/Verificación,E460:R460,,,validacion7@sblpharma.com
30-abr-24 7:12 a.m.,Calibración/Verificación,E461:R461,,,validacion7@sblpharma.com
30-abr-24 7:14 a.m.,Certificados,D459:AB459,,,validacion7@sblpharma.com
30-abr-24 7:14 a.m.,Certificados,D460:AB460,,,validacion7@sblpharma.com
30-abr-24 7:14 a.m.,Certificados,D461:AB461,,,validacion7@sblpharma.com
30-abr-24 7:14 a.m.,Calibración/Verificación,P458:P461,,,validacion7@sblpharma.com
30-abr-24 8:37 a.m.,Calibración/Verificación,H459,,Calibración,validacion7@sblpharma.com
30-abr-24 8:37 a.m.,Calibración/Verificación,I459,,02-ene-00,validacion7@sblpharma.com
30-abr-24 8:37 a.m.,Calibración/Verificación,J459,,02-ene-00,validacion7@sblpharma.com
30-abr-24 8:37 a.m.,Calibración/Verificación,L459,,31-dic-99,validacion7@sblpharma.com
30-abr-24 8:38 a.m.,Calibración/Verificación,H460,,Calibración,validacion7@sblpharma.com
30-abr-24 8:38 a.m.,Calibración/Verificación,I460,,02-ene-00,validacion7@sblpharma.com
30-abr-24 8:38 a.m.,Calibración/Verificación,J460,,02-ene-00,validacion7@sblpharma.com
30-abr-24 8:38 a.m.,Calibración/Verificación,L460,,31-dic-99,validacion7@sblpharma.com
30-abr-24 8:38 a.m.,Calibración/Verificación,H461,,Calibración,validacion7@sblpharma.com
30-abr-24 8:38 a.m.,Calibración/Verificación,I461,,02-ene-00,validacion7@sblpharma.com
30-abr-24 8:38 a.m.,Calibración/Verificación,J461,,02-ene-00,validacion7@sblpharma.com
30-abr-24 8:38 a.m.,Calibración/Verificación,L461,,31-dic-99,validacion7@sblpharma.com
30-abr-24 8:52 a.m.,Calibración/Verificación,Q459,,Externa,validacion7@sblpharma.com
30-abr-24 8:52 a.m.,Calibración/Verificación,Q460,,En planta + Mantenimiento,validacion7@sblpharma.com
30-abr-24 8:52 a.m.,Calibración/Verificación,Q460,En planta + Mantenimiento,Externa,validacion7@sblpharma.com
30-abr-24 8:52 a.m.,Calibración/Verificación,Q461,,Externa,validacion7@sblpharma.com
30-abr-24 9:09 a.m.,Calibración/Verificación,R459,,"-40°C, -30°C, -20°C, -10°C, 0.0°C, 8°C ± 1.0°C.",validacion7@sblpharma.com
30-abr-24 9:09 a.m.,Calibración/Verificación,R459,"-40°C, -30°C, -20°C, -10°C, 0.0°C, 8°C ± 1.0°C.","-40°C, -30°C, -20°C, -10°C, 0.0°C, 8°C ± 1.0°C.
10%, 20%, 30%, 40%, 50%, 60%, 70%, 80%, 99% Tol 5.0",validacion7@sblpharma.com
30-abr-24 9:10 a.m.,Calibración/Verificación,R460,,"-8.0°C, 0.0°C, 20.0°C, 40.0°C, 55.0°C, Tol ± 1.0
15%, 30%, 60%, 80% Tol 6.0%.",validacion7@sblpharma.com
30-abr-24 9:11 a.m.,Calibración/Verificación,R461,,"-8.0°C, 0.0°C, 20.0°C, 40.0°C, 55.0°C, Tol ± 1.0
15%, 30%, 60%, 80% Tol 6.0%.",validacion7@sblpharma.com
02-may-24 7:37 a.m.,SBL-LM-08,A418:I418,,,validacion7@sblpharma.com
02-may-24 7:37 a.m.,SBL-LM-08,A419:I419,,,validacion7@sblpharma.com
02-may-24 7:38 a.m.,SBL-LM-08,A419:I419,,,validacion7@sblpharma.com
02-may-24 7:38 a.m.,SBL-LM-08,A421:I423,,,validacion7@sblpharma.com
02-may-24 7:38 a.m.,SBL-LM-08,A418:A423,,,validacion7@sblpharma.com
02-may-24 7:38 a.m.,SBL-LM-08,B418,,Lascar Electronics,validacion7@sblpharma.com
02-may-24 7:38 a.m.,SBL-LM-08,C418,,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:38 a.m.,SBL-LM-08,D418,,13-jun-01,validacion7@sblpharma.com
02-may-24 7:38 a.m.,SBL-LM-08,E418,,DAT-VA-27,validacion7@sblpharma.com
02-may-24 7:38 a.m.,SBL-LM-08,F418,,,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,G418,,,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,H418,,01-may-24,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,I418,,N/A,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,B419,,,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,C419,,,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,C419,EL-USB-3,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,D419,,19-feb-08,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,E419,,DAT-VA-28,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,F419,,,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,G419,,,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,H419,,01-may-24,validacion7@sblpharma.com
02-may-24 7:39 a.m.,SBL-LM-08,I419,,N/A,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,B420,,Lascar Electronics,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,C420,,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,D420,,16-ago-01,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,E420,,DAT-VA-29,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,F420,,,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,G420,,,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,H420,,01-may-24,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,I420,,N/A,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,B421,,,validacion7@sblpharma.com
02-may-24 7:40 a.m.,SBL-LM-08,C421,,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:41 a.m.,SBL-LM-08,D421,,12-sep-02,validacion7@sblpharma.com
02-may-24 7:41 a.m.,SBL-LM-08,E421,,DAT-VA-30,validacion7@sblpharma.com
02-may-24 7:41 a.m.,SBL-LM-08,F421,,,validacion7@sblpharma.com
02-may-24 7:41 a.m.,SBL-LM-08,G421,,,validacion7@sblpharma.com
02-may-24 7:41 a.m.,SBL-LM-08,H421,,01-may-24,validacion7@sblpharma.com
02-may-24 7:41 a.m.,SBL-LM-08,I421,,N/A,validacion7@sblpharma.com
02-may-24 7:41 a.m.,SBL-LM-08,B422:B423,,,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,C422,,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,C423,,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,D422,,20-may-06,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,E422,,DAT-VA-31,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,F422,,,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,G422,,,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,H422,,01-may-24,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,I422,,N/A,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,D423,,04-dic-01,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,E423,,DAT-VA-32,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,F423,,,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,G423,,,validacion7@sblpharma.com
02-may-24 7:42 a.m.,SBL-LM-08,H423,,01-may-24,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,I423,,N/A,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,A424:I424,,,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,A424,,,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,B424,,,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,C424,,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,D424,,07-may-01,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,E424,,DAT-VA-33,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,F424,,,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,G424,,,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,H424,,01-may-24,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,I424,,N/A,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,A425:I425,,,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,A425,,,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,B425,,,validacion7@sblpharma.com
02-may-24 7:43 a.m.,SBL-LM-08,C425,,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,D425,,02-may-01,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,E425,,DAT-VA-34,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,F425,,,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,G425,,,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,H425,,01-may-24,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,I425,,N/A,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,A426:I426,,,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,A426,,,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,B426,,,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,C426,,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,D426,,24-jun-05,validacion7@sblpharma.com
02-may-24 7:44 a.m.,SBL-LM-08,E426,,DAT-VA-35,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,F426,,,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,G426,,,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,H426,,01-may-24,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,I426,,N/A,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,A427:I427,,,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,A427,,,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,B427,,,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,C427,,EL-USB-2,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,D427,,22-abr-03,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,E427,,DAT-VA-36,validacion7@sblpharma.com
02-may-24 7:47 a.m.,SBL-LM-08,F427,,,validacion7@sblpharma.com
02-may-24 7:48 a.m.,SBL-LM-08,G427,,,validacion7@sblpharma.com
02-may-24 7:48 a.m.,SBL-LM-08,H427,,01-may-24,validacion7@sblpharma.com
02-may-24 7:48 a.m.,SBL-LM-08,I427,,N/A,validacion7@sblpharma.com
02-may-24 7:48 a.m.,Calibración/Verificación,H413:R413,,,validacion7@sblpharma.com
02-may-24 7:48 a.m.,Calibración/Verificación,H414:R414,,,validacion7@sblpharma.com
02-may-24 7:49 a.m.,Calibración/Verificación,H415:R415,,,validacion7@sblpharma.com
02-may-24 7:49 a.m.,Calibración/Verificación,H416:R416,,,validacion7@sblpharma.com
02-may-24 7:49 a.m.,Calibración/Verificación,H417:R417,,,validacion7@sblpharma.com
02-may-24 7:49 a.m.,Calibración/Verificación,H418:R418,,,validacion7@sblpharma.com
02-may-24 7:49 a.m.,Calibración/Verificación,H419:R419,,,validacion7@sblpharma.com
02-may-24 7:49 a.m.,Calibración/Verificación,H420:R420,,,validacion7@sblpharma.com
02-may-24 7:49 a.m.,Calibración/Verificación,H421:R421,,,validacion7@sblpharma.com
02-may-24 7:49 a.m.,Calibración/Verificación,H422:R422,,,validacion7@sblpharma.com
02-may-24 7:50 a.m.,Calibración/Verificación,H413,,Calibración,validacion7@sblpharma.com
02-may-24 7:50 a.m.,Calibración/Verificación,I413,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:50 a.m.,Calibración/Verificación,J413,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:50 a.m.,Calibración/Verificación,L413,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,H414,,Calibración,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,I414,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,J414,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,L414,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,H415,,Calibración,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,I415,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,J415,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,L415,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,H416,,Calibración,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,I416,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,J416,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,L416,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Certificados,D413,,,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Certificados,D414,,,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Certificados,D415,,,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,H417,,Calibración,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,I417,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:51 a.m.,Calibración/Verificación,J417,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,L417,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,H418,,Calibración,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,I418,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,J418,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,L418,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Certificados,D416,,,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Certificados,D417,,,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Certificados,D418,,,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,H419,,Calibración,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,I419,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,J419,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,L419,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,H420,,Calibración,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,I420,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,J420,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,L420,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,H421,,Calibración,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,I421,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,J421,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,L421,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:52 a.m.,Calibración/Verificación,H422,,Calibración,validacion7@sblpharma.com
02-may-24 7:53 a.m.,Calibración/Verificación,I422,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:53 a.m.,Calibración/Verificación,J422,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:53 a.m.,Calibración/Verificación,L422,,01-ene-00,validacion7@sblpharma.com
02-may-24 7:53 a.m.,Certificados,D419,,,validacion7@sblpharma.com
02-may-24 7:53 a.m.,Certificados,D420,,,validacion7@sblpharma.com
02-may-24 7:53 a.m.,Certificados,D421,,,validacion7@sblpharma.com
02-may-24 7:53 a.m.,Certificados,D422,,,validacion7@sblpharma.com
02-may-24 7:53 a.m.,Calibración/Verificación,Q413,,Externa,validacion7@sblpharma.com
02-may-24 7:54 a.m.,Calibración/Verificación,R413,,"Temperatura 10.0°C, 20.0°C, 35.0°C, 40°C, 50°C Tol±1.0°C, Humedad 35.0%, 45.0%, 65.0%,75.0%, 80.0% Tol±2.0% ",validacion7@sblpharma.com
02-may-24 7:54 a.m.,Calibración/Verificación,Q415,,Externa,validacion7@sblpharma.com
02-may-24 7:54 a.m.,Calibración/Verificación,Q414,,Externa,validacion7@sblpharma.com
