,,,,,,,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,,2025,,
Agitador Vortex,Corning,LSE,000020226027,AGV-LC-01,Microbiología,Microbiología,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador Vortex,Corning,LSE,000020226028,AGV-LC-02,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Agitador Vortex,Scientific Industries,Digital Vortex-Genie 2,A3-5600,AGV-LC-03,Control de Calidad,Análisis Fisicoquímicos,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Amperímetro,Fluke,323,25900289,AMP-MA-01,NA,NA,NA,NA,08-Mar-18,,,07-Jun-19,,,,11-jun-20,,07-dic-21,,,,,,,,,,,,,,
Amperímetro,Fluke,325,47367667MV,AMP-MA-02,Mantenimiento,"Móvil, Taller de Mantenimiento",Calibración,12,,,,,,,,,,,,,19-ago-22,,,02-ago-23,,,,02-ago-24,,,01-ago-25,
Anemómetro,VWR,Traceable Hot Wire,80114311,ANE-VA-01,Validación ,"Móvil, Almacén de Validación",Calibración,18,12-Mar-18,,,,13-Ago-19,,,,,11-ene-21,,,06-jul-22,,,,,,08-ene-24,,,,01-jul-25,
Anemómetro,Extech Instrument,Field Master,451112,ANE-VA-02,Validación ,"Móvil, Almacén de Validación",Calibración,18,12-Mar-18,,,,13-Ago-19,,,,,11-ene-21,,,06-jul-22,,,,,,08-ene-24,,,,01-jul-25,
Balanza analítica,CAS,XB420HW,D604100010,BAA-AL-01,Almacén,Pesado,Calibración,6,,,,,,,,,,,,,,,,,,,,,,,,
Balanza analítica,Ohaus,Adventurer PRO,8026191114,BAA-CP-01,NA,NA,NA,NA,12-Mar-18,27-Ago-18,,21-Feb-19,02-Oct-19,23-Abr-19,,18-ago-20,12-Feb-20,15-ene-21,,06-may-21,,,,,,,,,,,,
Balanza analítica,OHAUS,AX124,B824999566,BAA-CP-02,Gestión de la Calidad,Control en Proceso,Calibración,6,,,,21-Feb-19,15-Ago-19,,19-Feb-20,18-ago-20,,15-ene-21,13-jul-21,,10-ene-22,04-jul-22,20-dic-22,02-jun-23,04-dic-23,,04-jun-24,02-dic-24,,03-jun-25,,
Balanza analítica,Ohaus,PA224,B650434148,BAA-CP-03,NA,NA,NA,NA,,,,11-Jun-19,,,17-Ene-20,17-jul-20,,15-ene-21,13-jul-21,,10-ene-22,04-Ju-22,20-dic-22,02-jun-23,04-dic-23,,04-jun-24,10-jun-24,,,,
Balanza analítica,OHAUS,PX224/E,C104035295,BAA-CP-04,Gestión de la Calidad,Muestreo de Materia Prima,Calibración,6,,,,,,,,,,,02-sep-21,04-oct-21,04-abr-22,03-oct-22,,03-abr-23,02-oct-23,,01-abr-24,02-oct-24,,01-abr-25,,
Balanza analítica,OHAUS,PX224/E,C3025547933,BAA-CP-05,Gestión de la Calidad,Control en Proceso,Calibración,6,,,,,,,,,,,,,,,,,,,,01-ago-24,,04-feb-25,01-ago-25,
Balanza analítica,AND,HR-120,12327074,BAA-DA-01,Desarrollo Analítico,Área de Balanzas,Calibración,6,,,,,,,07-Ene-20,06-jul-20,,05-ene-21,05-nov-21,10-may-21,03-may-22,03-nov-22,,02-may-23,01-nov-23,,02-may-24,01-nov-24,,02-may-25,,
Balanza analítica,ADAM,ABL 225,ITA1702001,BAA-DA-02,Desarrollo Analítico,Área de Balanzas,Calibración,6,,,,,,,07-Ene-20,06-jul-20,,05-ene-21,05-nov-21,10-may-21,03-may-22,03-nov-22,,02-may-23,01-nov-23,,02-may-24,01-nov-24,,02-may-25,,
Balanza analítica,AND,HR-120,12323474,BAA-LC-01,Control de Calidad,Área de Balanzas,Calibración,6,07-May-18,17-Jul-18,03-Oct-18,22-Ene-19,18-Jul-19,,17-Ene-20,06-jul-20,06-jul-20,15-ene-21,13-jul-21,,10-ene-22,04-jul-22,20-dic-22,02-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Balanza analítica,OHAUS,AX223,B830176127,BAA-DF-01,Desarrollo Farmacéutico,Desarrollo Farmacéutico,Calibración,6,,,,,,,,,,,,,03-ene-22,04-jul-22,20-dic-22,02-jun-23,04-dic-23,,04-jun-24,02-dic-24,,03-jun-25,,
Balanza electrónica,Ohaus,Scout Pro SP601,7129250596,BAE-LC-01,Microbiología,Preparación Microbiológica,Calibración,6,12-Mar-18,27-Sep-18,,21-Mar-19,06-Sep-19,,05-mar-20,04-sep-20,,05-mar-21,02-sep-21,,03-mar-22,02-sep-22,,01-mar-23,04-sep-23,,01-mar-24,02-sep-24,,03-mar-25,01-sep-25,
Balanza electrónica,Ohaus,SPX222,B822913116,BAE-LC-02,Control de Calidad,Área de Balanzas,Calibración,6,,,,08-Mar-19,06-Sep-19,,05-mar-20,04-sep-20,,05-mar-21,02-sep-21,,03-mar-22,02-sep-22,,01-mar-23,04-sep-23,,01-mar-24,02-sep-24,,03-mar-25,01-sep-25,
Balanza electrónica,OHAUS,SPX222,C204465423,BAE-MI-01,Microbiología,Microbiología,Calibración,6,,,,,,,,,,,,,,,,,,,04-jun-24,02-dic-24,,02-jun-25,,
Balanza semi-microanalítica,AND,GH-202,15110595,BSM-LC-01,Control de Calidad,Área de Balanzas,Calibración,6,,,,,,,,,,11-feb-21,13-jul-21,,10-ene-22,04-jul-22,20-dic-22,02-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Balanza semi-microanalítica,OHAUS,PX225D,C412794367,BSM-LC-02,Control de Calidad,Área de Balanzas,Calibración,6,,,,,,,,,,,,,,,,,,,,02-dic-24,,02-jun-25,,
Balómetro,Alnor TSI Incorporated,Loflo 6200D,19263602,BAL-VA-02,NA,NA,NA,NA,14-Feb-18,,,22-Mar-19,,,31-mar-20,,,,,,,,,,,,,,,,,
Balómetro,Alnor,6200,71229675,BAL-VA-03,Validación,"Móvil, Almacén de Validación",Calibración,18,,,,,,,17-jun-20,,,07-may-21,,,05-nov-22,,,,,,07-may-24,,,,,
Baño de agua,VWR,142665-PC,500803,BAM-LC-01,Microbiología,Microbiología,Calibración,12,08-Mar-18,,,21-Mar-19,,,03-Mar-20,,,03-mar-21,,,01-mar-22,,,01-mar-23,,,01-mar-24,,,03-mar-25,,
Baño de agua,VWR,5L,1F1120228,BAM-LC-02,Control de Calidad,Análisis Fisicoquímicos ,Calibración,12,05-Abr-18,,,02-Abr-19,,,31-mar-20,,,03-mar-21,,,01-mar-22,,,01-mar-23,,,01-mar-24,,,03-mar-25,,
Báscula digital,CAS,EC-II,1603EC300415,BAS-AL-01,NA,NA,NA,NA,07-Jun-18,07-Dic-18,,11-Jun-19,06-Dic-19,,08-jun-20,04-dic-20,,06-may-21,04-nov-21,,03-may-22,03-nov-22,,,,,,,,,,
Báscula digital,CAS,EC-II,1306EC300879,BAS-AL-02,NA,NA,NA,NA,12-Mar-18,27-Ago-18,,21-Feb-19,23-Sep-19,11-Abr-19,03-Mar-20,03-sep-20,,05-mar-21,02-sep-21,,03-mar-22,,,,,,,,,,,
Báscula digital,CAS,DBB Jr. ,141152930,BAS-AL-04,Ambiental,Almacén de Residuos,NA,NA,12-Abr-18,27-Sep-18,,08-Mar-19,06-Sep-19,,05-mar-20,04-sep-20,,05-mar-21,02-sep-21,,,,,,,,,,,,,
Báscula digital,CAS,EC-II,1603EC300416,BAS-AL-05,NA,NA,NA,NA,,,,06-Jun-19,06-Dic-19,,08-jun-20,,,,,,,,,,,,,,,,,
Báscula digital,CAS,DBB Jr. ,141152942,BAS-AL-06,Almacén,Recepción Materia Prima,Calibración,6,,,,,,,,,,,04-oct-21,,04-abr-22,03-oct-22,,03-abr-23,03-oct-23,,01-abr-24,02-oct-24,,01-abr-25,,
Báscula digital,OHAUS,RC301P30,8342246159,BAS-AL-07,Almacén,Pesado,Calibración,6,,,,,,,,,,,04-nov-21,,03-mar-22,03-nov-22,,02-may-23,01-nov-23,,02-may-24,01-nov-24,,02-may-25,,
Báscula digital,CAS,HD,210654307,BAS-AL-08,Almacén,Pesado,Calibración,6,,,,,,,,,,,,,03-mar-22,02-sep-22,,01-mar-23,04-sep-23,,01-mar-24,02-sep-24,,03-mar-25,01-sep-25,
Báscula digital,OHAUS,Ranger 3000,8343142254,BAS-AL-09,Almacén,Surtido de Material de Acondicionamiento,Calibración,6,,,,,,,,,,,,,,,,27-ene-23,03-jul-23,,08-ene-24,01-jul-24,02-dic-24,02-jun-25,,
Báscula digital,OHAUS,RC31P30,8343142289,BAS-AL-10,Almacén,Recepción Materia Prima,Calibración,6,,,,,,,,,,,,,,,,02-may-23,01-nov-23,,08-may-24,,19-ago-24,04-feb-25,01-ago-25,
Báscula digital,CAS,DBB Jr. ,141152942,BAS-AM-01,NA,NA,NA,NA,07-Jun-18,07-Dic-18,,06-Jun-19,,23-Sep-19,03-Mar-20,17-sep-20,,05-mar-21,,,,,,,,,,,,,,
Báscula digital,CAS,XE-6000,160851840,BAS-DF-01,Desarrollo Farmacéutico,Desarrollo Farmacéutico,Calibración,6,,,,,,,07-Ene-20,06-jul-20,,05-ene-21,02-jul-21,,03-ene-22,12-jul-22,20-dic-22,02-jun-23,04-dic-23,,04-jun-24,02-dic-24,,03-jun-25,,
Báscula digital,CAS,DBB-Jr,121040486,BAS-PR-05,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Báscula digital,CAS,HDI,170853393,BAS-PR-06,Fabricación ,Encapsulado y Abrillantado 1,Calibración,6,08-Feb-18,16-Ago-18,,21-Feb-19,15-Ago-19,,19-Feb-20,18-ago-20,,15-ene-21,13-jul-21,,10-ene-22,04-jul-22,20-dic-22,01-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Báscula digital,CAS,HDI,170853368,BAS-PR-07,NA,NA,NA,NA,18-Ene-18,11-Jul-18,,22-Ene-19,18-Jul-19,,17-Ene-20,17-jul-20,,15-ene-21,13-jul-21,,10-ene-22,04-jul-22,20-dic-22,01-jun-23,04-dic-23,,,,,,,
Báscula digital,CAS,HDI/SPS 4050,170853416,BAS-PR-08,Ambiental,Almacén Temporal de Residuos Peligrosos (Sólidos),NA,NA,07-Jun-18,07-Dic-18,,06-jun-19,06-Dic-19,,08-jun-20,04-dic-20,,06-may-21,04-nov-21,,03-may-22,03-nov-22,,02-may-23,01-nov-23,,02-may-24,01-nov-24,,,,
Báscula digital,CAS,HDL-SPS4050,170853407,BAS-PR-09,NA,NA,NA,NA,,24-Jul-18,,22-Ene-19,11-Dic-19,,08-jun-20,04-dic-20,,06-may-21,04-nov-21,,03-may-22,03-nov-22,,02-may-23,01-nov-23,,,,,,,
Báscula digital,CAS,HDI,170863400,BAS-PR-10,NA,NA,NA,NA,,12-Nov-18,,21-Feb-19,15-Ago-19,,19-Feb-20,18-ago-20,,15-ene-21,13-jul-21,,13-ene-22,04-jul-22,20-dic-22,01-jun-23,04-dic-23,,04-jun-24,,,,,
Báscula digital,CAS,HDI,170863311,BAS-PR-11,Fabricación ,Recubrimiento,Calibración,6,,12-Nov-18,,09-May-19,11-Nov-19,,06-may-20,10-nov-20,,06-may-21,03-dic-21,,09-jun-22,01-dic-22,,01-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Báscula digital,CAS,HDI,170853364,BAS-PR-12,NA,NA,NA,NA,,12-Nov-18,,09-May-19,11-Nov-19,,07-may-20,10-nov-20,,06-may-21,04-nov-21,,03-may-22,03-nov-22,,02-may-23,01-nov-23,,02-may-24,01-nov-24,,,,
Báscula digital,CAS,HDI,190383084,BAS-PR-13,NA,NA,NA,NA,,,,,23-Sep-19,,05-mar-20,04-sep-20,,05-mar-21,03-sep-21,,03-mar-22,02-sep-22,,01-mar-23,04-sep-23,,,,,,,
Báscula digital,CAS,HDI,190363073,BAS-PR-14,NA,NA,NA,NA,,,,,,,12-Feb-20,17-jul-20,,15-ene-21,13-jul-21,,,,,,,,,,,,,
Báscula digital,CAS,HDI/SPS4050,210654286,BAS-PR-15,NA,NA,NA,NA,,,,,,,,,,,03-dic-21,,06-jun-22,01-dic-22,,01-jun-23,04-dic-23,,04-jun-24,02-dic-24,,,,
Báscula digital,CAS,HDI/SPS4051,210654288,BAS-PR-16,Fabricación ,Detección de Metales,Calibración,6,,,,,,,,,,,03-dic-21,,06-jun-22,01-dic-22,,01-jun-23,04-dic-23,,04-jun-24,04-dic-24,,02-jun-25,,
Báscula digital,CAS,HD,220151911,BAS-FR-17,Fabricación,Acondicionamiento Primario Blíster,Calibración,6,,,,,,,,,,,,,,,,,,,21-feb-24,01-ago-24,,04-feb-25,01-ago-25,
Báscula digital,CAS,HD,220151926,BAS-FR-18,Fabricación ,Encapsulado y Abrillantado 4,Calibración,6,,,,,,,,,,,,,,,,,,,21-feb-24,01-ago-24,,04-feb-25,01-ago-25,
Báscula digital,CAS,HD,231150292,BAS-FR-19,Fabricación,Encapsulado y Abrillantado #5  ,Calibración,6,,,,,,,,,,,,,,,,,,,11-abr-24,02-oct-24,,01-abr-25,,
Bascula digital,CAS,HD,231150291,BAS-FR-20,Fabricación,Acondicionamiento Primario Llenado de Frascos,Calibración,6,,,,,,,,,,,,,,,,,,,,12-jul-24,02-dic-24,03-jun-25,,
Báscula digital,CAS,HDI,240755468,BAS-FR-21,Fabricación,Tableteado 1,Calibración,6,,,,,,,,,,,,,,,,,,,,,,06-feb-25,01-ago-25,
Báscula digital,CAS,HDI,240755469,BAS-FR-22,Fabricación,Tableteado 2,Calibración,6,,,,,,,,,,,,,,,,,,,,,,04-feb-25,01-ago-25,
Báscula digital,CAS,HDI,240755485,BAS-FR-23,Fabricación,Mezclado y Tamizado 1,Calibración,6,,,,,,,,,,,,,,,,,,,,,,01-abr-25,,
Bomba peristáltica,Watson Marlow,1205/DV,170221-102287,BOP-DF-01,Desarrollo Farmacéutico,Desarrollo Farmacéutico,Calibración,12,,,,,,,03-Mar-20,,,03-mar-21,,,01-mar-22,,,01-mar-23,,,01-mar-24,,,03-mar-25,,
Bomba peristáltica,Watson marlow,323,J120411,BOP-PR-01,NA,NA,NA,NA,12-Abr-18,,,11-Abr-19,,,03-Abr-20,,,03-mar-21,,,01-mar-22,,,01-mar-23,,,,,,,,
Calefactor,ND,ND,ND,CAL-DA-01,Desarrollo Analítico,"Estabilidades, en CAC-DA-01",Calibración,6,13-Mar-18,10-Sep-18,,08-Mar-19,06-Sep-19,,05-mar-20,04-sep-20,,04-mar-21,03-sep-21,,03-mar-22,02-sep-22,,01-mar-23,04-sep-23,,01-mar-24,02-sep-24,,03-mar-25,01-sep-25,
Calefactor,ND,ND,ND,CAL-DA-02,Desarrollo Analítico,"Estabilidades, en CAC-DA-02",Calibración,6,,07-Dic-18,,06-Jun-19,06-Dic-19,,08-jun-20,04-dic-20,,10-may-21,04-nov-21,,19-jul-22,20-dic-22,,02-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Calefactor,ND,ND,ND,CAL-DA-03,Desarrollo Analítico,"Análisis Instrumental II, en ESE-DA-01",Calibración,12,,,,,,,,,,,,,,,,10-ago-23,,,,19-ago-24,,,04-ago-25,
Calefactor,ND,ND,ND,CAL-DF-01,Desarrollo Farmacéutico,"Móvil, en DES-DF-01",Calibración,12,,,,09-may-19,,,11-may-20,,,10-may-21,,,02-may-22,,,10-may-23,,,02-may-24,,,02-may-25,,
Calefactor,ND,ND,ND,CAL-GC-02,Gestión de la Calidad,"Control en Proceso, en DES-CP-01",Calibración,12,,,,23-Abr-19,,,03-Abr-20,,,03-mar-21,,,01-mar-22,,,01-mar-23,,,01-mar-24,,,03-mar-25,,
Calefactor,ND,ND,ND,CAL-LC-01,Control de Calidad,"Análisis Instrumental IV, en MUF-LC-02",Calibración,12,25-Ene-18,,,25-Ene-19,,,17-Ene-20,,,15-ene-21,,,10-ene-22,,20-dic-22,,04-dic-23,,,02-dic-24,,,,
Calefactor,ND,ND,ND,CAL-LC-02,NA,NA,NA,NA,12-Abr-18,,,11-Abr-19,,,03-Abr-20,,,03-mar-21,,,01-mar-22,,,,,,,,,,,
Calefactor,ND,ND,ND,CAL-LC-03,Control de Calidad,"Estabilidades, en CAC-LC-01",Calibración,6,,17-Jul-18,,,,,,,,,03-dic-21,,25-abr-22,,17-oct-22,03-abr-23,02-oct-23,,01-abr-24,02-oct-24,,01-abr-25,,
Calefactor,ND,ND,ND,CAL-LC-04,Control de Calidad,"Estabilidades, en CAC-LC-02",Calibración,6,,07-Dic-18,,,06-Dic-19,,19-feb-20,17-sep-20,,03-jun-21,03-dic-21,,03-jun-22,,01-dic-22,01-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Calefactor,ND,ND,ND,CAL-LC-05,Microbiología,"Preparación Microbiológica, en INC-LC-01",Calibración,6,12-Abr-18,27-Sep-18,,22-Ene-19,23-Sep-19,11-Abr-19,03-Mar-20,03-sep-20,,03-mar-21,01-nov-21,,02-may-22,03-nov-22,,02-may-23,01-nov-23,,02-may-24,01-nov-24,,02-may-25,,
Calefactor,ND,ND,ND,CAL-LC-06,Microbiología,"Preparación Microbiológica, en INC-LC-04",Calibración,6,18-Ene-18,11-Jul-18,,22-Ene-19,18-Jul-19,,17-Ene-20,17-jul-20,,15-ene-21,13-jul-21,,10-ene-22,04-jul-22,20-dic-22,01-jun-23,04-dic-23,,04-jun-24,02-dic-24,,02-jun-25,,
Calefactor,ND,ND,ND,CAL-LC-07,Microbiología,"Preparación Microbiológica, en INC-LC-05",Calibración,6,07-Jun-18,18-Dic-18,,06-Jun-19,06-Dic-19,,08-jun-20,04-dic-20,,06-may-21,04-nov-21,,03-may-22,03-nov-22,,02-may-23,01-nov-23,,02-may-24,01-nov-24,,02-may-25,,
Calefactor,NA,NA,NA,CAL-LC-08,NA,NA,NA,NA,,,,02-Abr-19,23-Sep-19,,,03-sep-20,,,,,,,,,,,,,,,,
Calefactor,ND,ND,ND,CAL-LC-09,Microbiología,"Preparación Microbiológica, en INC-LC-06",Calibración,6,,,,,,,,,,10-may-21,05-nov-21,,03-may-22,03-nov-22,,02-may-23,01-nov-23,,02-may-24,01-nov-24,,02-may-25,,
Calefactor,ND,ND,ND,CAL-LC-10,Microbiología,"Preparación Microbiológica, en INC-LC-07",Calibración,6,,,,,,,,,,10-may-21,05-nov-21,,03-may-22,03-nov-22,,02-may-23,01-nov-23,,02-may-24,01-nov-24,,02-may-25,,
Calefactor,ND,ND,ND,CAL-LC-11,Control de Calidad,"Análisis Instrumental IV, en ESE-LC-03",Calibración,12,,,,,,,,,,,,,10-ene-22,,20-dic-22,,04-dic-23,,,02-dic-24,,,,
Calefactor,ND,ND,ND,CAL-CP-01,NA,NA,NA,NA,08-Mar-18,,,21-Mar-19,,,,,,,,,,,,,,,,,,,,
Contador de partículas,Lighthouse,SOLAIR 3100+,0-80104003,COP-VA-01,NA,NA,NA,NA,15-ene-18,,,29-Ene-19,,23-Ago-19,,26-ago-20,,,01-jul-21,,,,,,,,,,,,,
Contador de partículas,Lighthouse,S3100,2108044049,COP-VA-02,Validación ,"Móvil, Almacén de Validación",Calibración,12,,,,,,,,,,,26-ago-21,,30-ago-22,,,20-sep-23,,,01-abr-24,,,02-abr-25,,
Controlador de temperatura de formado,OMRON,ESCWL-RITC,29X21MC,CTF-FR-01,Fabricación,"Acondicionamiento Primario Blíster, en BLI-FR-02",Calibración,12,,,,,,,,,,,,,,20-dic-22,,,04-dic-23,,,02-dic-24,,,,
Controlador de temperatura de sellado,OMRON,ESCWL-RITC,29X21MC,CTS-FR-01,Fabricación,"Acondicionamiento Primario Blíster, en BLI-FR-02",Calibración,12,,,,,,,,,,,,,,20-dic-22,,,04-dic-23,,,02-dic-24,,,,
Criotermostato de recirculación,Julabo,CORIO CD-201F,10431845,CRI-DA-01,Desarrollo Analítico,"Móvil (Análisis Instrumental I, Análisis Instrumental II y Análisis Fisicoquímicos)",Calibración,12,,,,,,,,,,,,,,,,03-ago-23,,,,01-ago-24,,,04-ago-25,
Cronómetro,Control company,1235D46,181572470,CRO-DA-01,Desarrollo Analítico,Disolución,Calibración,6,,,,09-Ene-19,,,16-Ene-20,,,08-ene-21,,,05-ene-22,,21-dic-22,,07-dic-23,,03-jun-24,03-dic-24,,03-jun-25,,
Cronómetro,Control company,1235D46,181572465,CRO-DA-02,NA,NA,NA,NA,,,,09-Ene-19,,,08-Ene-20,,,08-ene-21,,,13-ene-22,,,,,,,,,,,
Cronómetro,Extech,365510,ND,CRO-DF-01,Desarrollo Farmacéutico,Desarrollo Farmacéutico,Calibración,12,,,,,,,,,,,,,,,,,,,,04-nov-24,,,,
Cronómetro,Control company,5017,170601004,CRO-CP-01,Gestión de la Calidad,Control en Proceso ,Calibración,6,,23-Ago-18,,,21-Ago-19,,,18-ago-20,,,19-jul-21,,21-jul-22,,,01-jul-23,,,06-may-24,04-nov-24,,02-may-25,,
Cronómetro,Fisher Scientific,5008,21017839,CRO-LC-01,NA,NA,NA,NA,,11-Dic-18,,,12-Dic-19,,,10-dic-20,,,07-dic-21,,,,,,,,,,,,,
Cronómetro,VWR,62344-912,91215421,CRO-LC-02,NA,NA,NA,NA,,11-Dic-18,,,,,,23-nov-20,,,11-nov-21,,,,,,,,,,,,,
Cronómetro,Control company,8788V77,200518836,CRO-LC-03,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Cronómetro,Control company,8788V77,200518830,CRO-LC-04,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Cronómetro,Control company,1043,160141915,CRO-PR-01,NA,NA,NA,NA,,23-Ago-18,,,21-Ago-19,,,18-ago-20,,,19-jul-21,,05-jul-22,,,,,,,,,,,
Cronómetro,General Tools,SW888L,ND,CRO-FR-02,Fabricación,Mezclado y Tamizado 1,Calibración,6,,,,,,,,,,,,,02-sep-22,,,05-sep-23,,,06-may-24,04-nov-24,,03-may-25,,
Cronómetro,General Tools,SW888L,ND,CRO-FR-03,Validación,"Móvil, Almacén de Validación",Calibración,18,,,,,,,,,,,,,02-sep-22,,,05-sep-23,,,,,,04-mar-25,,
Cronómetro,VWR,Fingertip,ND,CRO-VA-01,NA,NA,NA,NA,12-Mar-18,,,21-Mar-19,,,,,,,,,,,,,,,,,,,,
Cronómetro,Extech Instrument,365510,NA,CRO-VA-02,Control de Calidad,Análisis Instrumental II,Calibración,12,02-Feb-18,,,23-Feb-19,,,21-Feb-20,,,21-ene-21,,,24-ene-22,,21-dic-22,,06-dic-23,,,03-dic-24,,,,
Cronómetro,Hanhart,Compact 2,19A18,CRO-VA-03,NA,NA,NA,NA,,,,10-May-19,,,07-may-20,,,10-may-21,,,06-may-22,,,,,,,,,,,
Cronómetro,Control company,8788V77,200518836,CRO-VA-04,Validación,"Móvil, Almacén de Validación",Calibración,18,,,,,,,,20-sep-20,,,,,07-mar-22,,,05-sep-23,,,,,,04-mar-25,,
Cronómetro,Control company,8788V77,200518830,CRO-VA-05,NA,NA,NA,NA,,,,,,,,20-sep-20,,,,,,,,,,,,,,,,
Cronómetro,Control company,5CVT8,230027989,CRO-VA-06,Validación,"Móvil, Almacén de Validación",Calibración,18,,,,,,,,,,,,,,,,02-ago-23,,,,,,04-feb-25,,
Cronómetro,Control company,5CVT8,221856015,CRO-VA-07,NA,NA,NA,NA,,,,,,,,,,,,,,,,02-ago-23,,,,,,,,
Cronómetro,Control company,8788V77,200518830,CRO-MI-01,Microbiología,Preparación Microbiológica,Calibración,18,,,,,,,,20-sep-20,,,,,07-mar-22,,,05-sep-23,,,,,,04-mar-25,,
Densímetro,Pharma Alliance,TD-12,PAG0502034,DEN-DF-01,Desarrollo Farmacéutico,Desarrollo Farmacéutico,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,
Durómetro,Dillon,MHT-100,05-0106-01,DUR-CP-01,NA,NA,NA,NA,13-Feb-18,22-Ago-18,,,14-ago-19,,,17-ago-20,,,25-jun-21,,,,,,,,,,,,,
Durómetro,ELECTROLAB,ETB-2PRL,2109049,DUR-CP-02,NA,NA,NA,NA,,,,,,,,,,,11-oct-21,,,,,,,,,,,,,
Durómetro,HARTEK,PHT-500P,4112206430,DUR-CP-03,Gestión de la Calidad,Control en Proceso,Calibración,12,,,,,,,,,,,,,,,,21-oct-22,02-oct-23,,,02-oct-24,,,,
Durómetro,HARTEK,PHT-500P,4111608066,DUR-DF-01,Desarrollo Farmacéutico,Desarrollo Farmacéutico,Calibración,12,,,,,,,09-Ene-20,,,12-ene-21,,07-may-21,06-ene-22,21-dic-22,,,08-dic-23,,,02-dic-24,,,,
Electrodo,HANNA instruments,Halo HI11102,0CAE7DFACEDE,ELE-DA-01,NA,NA,NA,NA,,,,,,,,,,,,,,,,04-ago-23,,,,22-ago-24,,,,
Electrodo,Mettler Toledo,perfectION comb F- Lemo,BU1-11977,ELE-DA-02,Desarrollo Analítico,"Área de Balanzas, en TIT-LC-01",Calibración,12,,,,,,,,,,,,,,,,,,,,,,,,
Electrodo,Mettler Toledo,DM143-SC,C442896093,ELE-DA-03,Desarrollo Analítico,"Área de Balanzas, en TIT-LC-01",Calibración,12,,,,,,,,,,,,,,,,,,,,,,,,
